name;url;type
2017-12-05 Manipulating data wth dplyr.Rmd;https://github.com/rladies/meetup-presentations_charlottesville/blob/master/2017-12-05%20Manipulating%20data%20wth%20dplyr.Rmd;file
2018-01-25 Lightning_Talks.pptx;https://github.com/rladies/meetup-presentations_charlottesville/blob/master/2018-01-25%20Lightning_Talks.pptx;file
2018-02-22 Creating Websites with R and Hugo.pptx;https://github.com/rladies/meetup-presentations_charlottesville/blob/master/2018-02-22%20Creating%20Websites%20with%20R%20and%20Hugo.pptx;file
2018-05-01 Git and Github with R.pptx;https://github.com/rladies/meetup-presentations_charlottesville/blob/master/2018-05-01%20Git%20and%20Github%20with%20R.pptx;file
2018-07-02 R4DS Book Club.pptx;https://github.com/rladies/meetup-presentations_charlottesville/blob/master/2018-07-02%20R4DS%20Book%20Club.pptx;file
2018-07-02_R4DS_ visualization.Rmd;https://github.com/rladies/meetup-presentations_charlottesville/blob/master/2018-07-02_R4DS_%20visualization.Rmd;file
2018-07-05_R4DS_workflows.Rmd;https://github.com/rladies/meetup-presentations_charlottesville/blob/master/2018-07-05_R4DS_workflows.Rmd;file
2018-07-20_R4DS_transform.Rmd;https://github.com/rladies/meetup-presentations_charlottesville/blob/master/2018-07-20_R4DS_transform.Rmd;file
2018-08-23_R4DS_explore.Rmd;https://github.com/rladies/meetup-presentations_charlottesville/blob/master/2018-08-23_R4DS_explore.Rmd;file
2018-08-29_R4DS_tibbles.Rmd;https://github.com/rladies/meetup-presentations_charlottesville/blob/master/2018-08-29_R4DS_tibbles.Rmd;file
2018-11-27 Social_Media_Analysis.pdf;https://github.com/rladies/meetup-presentations_charlottesville/blob/master/2018-11-27%20Social_Media_Analysis.pdf;file
2019-08-27-R_Tutorial_RMarkdown_Tidyverse (3).pptx;https://github.com/rladies/meetup-presentations_charlottesville/blob/master/2019-08-27-R_Tutorial_RMarkdown_Tidyverse%20(3).pptx;file
2019-08-27_IntroTidyverse.R;https://github.com/rladies/meetup-presentations_charlottesville/blob/master/2019-08-27_IntroTidyverse.R;file
2019-08-27_RMarkdown.Rmd;https://github.com/rladies/meetup-presentations_charlottesville/blob/master/2019-08-27_RMarkdown.Rmd;file
Contributor_Code_of_Conduct.md;https://github.com/rladies/meetup-presentations_charlottesville/blob/master/Contributor_Code_of_Conduct.md;file
README.md;https://github.com/rladies/meetup-presentations_charlottesville/blob/master/README.md;file
README.md;https://github.com/rladies/meetup-presentations_chennai/blob/master/README.md;file
.gitignore;https://github.com/rladies/meetup-presentations_chicago/blob/master/.gitignore;file
README.md;https://github.com/rladies/meetup-presentations_chicago/blob/master/README.md;file
meetup-presentations_chicago.Rproj;https://github.com/rladies/meetup-presentations_chicago/blob/master/meetup-presentations_chicago.Rproj;file
20190222_rstudioconf2019;https://github.com/rladies/meetup-presentations_columbus/tree/master/20190222_rstudioconf2019;dir
